Date,Hr_End,Dry_Bulb,System_Load
01-Feb-19,1,58,0.614
01-Feb-19,2,59,0.587
01-Feb-19,3,58,0.574
01-Feb-19,4,58,0.569
01-Feb-19,5,58,0.585
01-Feb-19,6,59,0.643
01-Feb-19,7,59,0.743
01-Feb-19,8,59,0.802
01-Feb-19,9,60,0.82
01-Feb-19,10,62,0.831
01-Feb-19,11,65,0.844
01-Feb-19,12,67,0.854
01-Feb-19,13,69,0.86
01-Feb-19,14,71,0.872
01-Feb-19,15,71,0.881
01-Feb-19,16,71,0.886
01-Feb-19,17,71,0.892
01-Feb-19,18,70,0.904
01-Feb-19,19,70,0.932
01-Feb-19,20,69,0.937
01-Feb-19,21,69,0.9
01-Feb-19,22,68,0.84
01-Feb-19,23,66,0.768
01-Feb-19,24,66,0.701
02-Feb-19,1,65,0.651
02-Feb-19,2,64,0.616
02-Feb-19,3,63,0.594
02-Feb-19,4,61,0.585
02-Feb-19,5,59,0.594
02-Feb-19,6,57,0.64
02-Feb-19,7,55,0.727
02-Feb-19,8,53,0.78
02-Feb-19,9,53,0.789
02-Feb-19,10,54,0.78
02-Feb-19,11,55,0.773
02-Feb-19,12,57,0.768
02-Feb-19,13,58,0.764
02-Feb-19,14,59,0.766
02-Feb-19,15,60,0.768
02-Feb-19,16,61,0.776
02-Feb-19,17,61,0.798
02-Feb-19,18,60,0.818
02-Feb-19,19,58,0.842
02-Feb-19,20,54,0.839
02-Feb-19,21,52,0.808
02-Feb-19,22,52,0.764
02-Feb-19,23,52,0.706
02-Feb-19,24,52,0.646
03-Feb-19,1,51,0.601
03-Feb-19,2,50,0.573
03-Feb-19,3,50,0.558
03-Feb-19,4,50,0.553
03-Feb-19,5,50,0.558
03-Feb-19,6,50,0.577
03-Feb-19,7,50,0.616
03-Feb-19,8,51,0.66
03-Feb-19,9,52,0.706
03-Feb-19,10,54,0.73
03-Feb-19,11,55,0.73
03-Feb-19,12,57,0.723
03-Feb-19,13,58,0.714
03-Feb-19,14,60,0.716
03-Feb-19,15,60,0.717
03-Feb-19,16,61,0.72
03-Feb-19,17,61,0.738
03-Feb-19,18,61,0.767
03-Feb-19,19,60,0.796
03-Feb-19,20,60,0.791
03-Feb-19,21,60,0.764
03-Feb-19,22,60,0.728
03-Feb-19,23,60,0.68
03-Feb-19,24,61,0.632
04-Feb-19,1,61,0.592
04-Feb-19,2,61,0.569
04-Feb-19,3,62,0.557
04-Feb-19,4,62,0.55
04-Feb-19,5,62,0.551
04-Feb-19,6,62,0.566
04-Feb-19,7,62,0.595
04-Feb-19,8,63,0.633
04-Feb-19,9,64,0.683
04-Feb-19,10,66,0.723
04-Feb-19,11,68,0.749
04-Feb-19,12,70,0.764
04-Feb-19,13,72,0.777
04-Feb-19,14,74,0.787
04-Feb-19,15,74,0.793
04-Feb-19,16,74,0.807
04-Feb-19,17,72,0.827
04-Feb-19,18,71,0.85
04-Feb-19,19,69,0.868
04-Feb-19,20,66,0.856
04-Feb-19,21,64,0.818
04-Feb-19,22,62,0.767
04-Feb-19,23,61,0.707
04-Feb-19,24,61,0.65
05-Feb-19,1,60,0.608
05-Feb-19,2,60,0.582
05-Feb-19,3,59,0.566
05-Feb-19,4,58,0.563
05-Feb-19,5,58,0.575
05-Feb-19,6,57,0.614
05-Feb-19,7,56,0.68
05-Feb-19,8,56,0.737
05-Feb-19,9,56,0.783
05-Feb-19,10,55,0.813
05-Feb-19,11,55,0.831
05-Feb-19,12,55,0.84
05-Feb-19,13,55,0.84
05-Feb-19,14,56,0.839
05-Feb-19,15,56,0.835
05-Feb-19,16,56,0.834
05-Feb-19,17,56,0.847
05-Feb-19,18,55,0.873
05-Feb-19,19,55,0.893
05-Feb-19,20,55,0.877
05-Feb-19,21,55,0.835
05-Feb-19,22,56,0.776
05-Feb-19,23,56,0.706
05-Feb-19,24,56,0.643
06-Feb-19,1,57,0.602
06-Feb-19,2,57,0.579
06-Feb-19,3,58,0.567
06-Feb-19,4,58,0.567
06-Feb-19,5,59,0.586
06-Feb-19,6,60,0.644
06-Feb-19,7,60,0.749
06-Feb-19,8,61,0.816
06-Feb-19,9,63,0.842
06-Feb-19,10,64,0.855
06-Feb-19,11,67,0.86
06-Feb-19,12,71,0.871
06-Feb-19,13,73,0.883
06-Feb-19,14,74,0.897
06-Feb-19,15,75,0.901
06-Feb-19,16,77,0.908
06-Feb-19,17,77,0.925
06-Feb-19,18,76,0.946
06-Feb-19,19,74,0.976
06-Feb-19,20,73,0.974
06-Feb-19,21,71,0.929
06-Feb-19,22,70,0.867
06-Feb-19,23,69,0.791
06-Feb-19,24,69,0.722
07-Feb-19,1,69,0.672
07-Feb-19,2,69,0.643
07-Feb-19,3,68,0.625
07-Feb-19,4,68,0.619
07-Feb-19,5,68,0.635
07-Feb-19,6,67,0.692
07-Feb-19,7,67,0.795
07-Feb-19,8,67,0.856
07-Feb-19,9,68,0.88
